site_id,start_time,end_time,spin,cluster_id
0,3.06874,3.39191,-1,-1
0,3.39191,6.67327,1,-1
0,6.67327,6.82243,-1,-1
0,6.82243,11.3558,1,-1
0,11.3558,11.5121,-1,-1
0,11.5121,11.9505,1,-1
0,11.9505,0.289228,-1,-1
0,0.289228,3.06874,1,-1
1,4.95118,5.0221,-1,-1
1,5.0221,8.30694,1,-1
1,8.30694,8.49864,-1,-1
1,8.49864,4.95118,1,-1
2,0.50494,0.530353,-1,-1
2,0.530353,1.15382,1,-1
2,1.15382,1.18442,-1,-1
2,1.18442,8.32286,1,-1
2,8.32286,8.88597,-1,-1
2,8.88597,9.67164,1,-1
2,9.67164,10.2493,-1,-1
2,10.2493,0.50494,1,-1
3,8.97777,9.02939,1,-1
3,9.02939,9.19127,-1,-1
3,9.19127,9.34047,1,-1
3,9.34047,10.4201,-1,-1
3,10.4201,0.624763,1,-1
3,0.624763,0.691964,-1,-1
3,0.691964,6.82147,1,-1
3,6.82147,7.02285,-1,-1
3,7.02285,8.02706,1,-1
3,8.02706,8.27002,-1,-1
3,8.27002,8.78323,1,-1
3,8.78323,8.97777,-1,-1
4,8.01901,10.226,-1,-1
4,10.226,1.77506,1,-1
4,1.77506,2.03708,-1,-1
4,2.03708,4.03068,1,-1
4,4.03068,4.08583,-1,-1
4,4.08583,4.66718,1,-1
4,4.66718,4.99955,-1,-1
4,4.99955,5.06272,1,-1
4,5.06272,5.21013,-1,-1
4,5.21013,8.01901,1,-1
5,3.71595,4.16367,-1,-1
5,4.16367,4.35662,1,-1
5,4.35662,4.41777,-1,-1
5,4.41777,5.34634,1,-1
5,5.34634,5.54732,-1,-1
5,5.54732,6.5304,1,-1
5,6.5304,6.64965,-1,-1
5,6.64965,7.93167,1,-1
5,7.93167,9.79429,-1,-1
5,9.79429,9.80935,1,-1
5,9.80935,10.229,-1,-1
5,10.229,2.11092,1,-1
5,2.11092,2.2086,-1,-1
5,2.2086,3.71595,1,-1
6,4.59716,4.79854,-1,-1
6,4.79854,5.1893,1,-1
6,5.1893,5.41223,-1,-1
6,5.41223,6.22945,1,-1
6,6.22945,6.36552,-1,-1
6,6.36552,6.89545,1,-1
6,6.89545,9.29628,-1,-1
6,9.29628,9.59404,1,-1
6,9.59404,10.1725,-1,-1
6,10.1725,0.0919596,1,-1
6,0.0919596,0.410134,-1,-1
6,0.410134,4.59716,1,-1
7,7.45083,7.51407,1,-1
7,7.51407,10.0386,-1,-1
7,10.0386,4.16913,1,-1
7,4.16913,4.32847,-1,-1
7,4.32847,4.77926,1,-1
7,4.77926,4.78716,-1,-1
7,4.78716,5.16656,1,-1
7,5.16656,5.35827,-1,-1
7,5.35827,6.71076,1,-1
7,6.71076,7.45083,-1,-1
8,4.83219,6.7361,1,-1
8,6.7361,8.94277,-1,-1
8,8.94277,9.14942,1,-1
8,9.14942,10.8999,-1,-1
8,10.8999,4.8162,1,-1
8,4.8162,4.83219,-1,-1
9,10.7999,10.8563,-1,-1
9,10.8563,11.0439,1,-1
9,11.0439,11.5764,-1,-1
9,11.5764,1.51292,1,-1
9,1.51292,1.63663,-1,-1
9,1.63663,2.1741,1,-1
9,2.1741,2.40791,-1,-1
9,2.40791,4.189,1,-1
9,4.189,4.98343,-1,-1
9,4.98343,5.50166,1,-1
9,5.50166,5.79584,-1,-1
9,5.79584,7.04926,1,-1
9,7.04926,7.18586,-1,-1
9,7.18586,8.04583,1,-1
9,8.04583,8.09039,-1,-1
9,8.09039,9.27894,1,-1
9,9.27894,10.0435,-1,-1
9,10.0435,10.7999,1,-1
10,7.54188,8.16276,-1,-1
10,8.16276,9.66094,1,-1
10,9.66094,9.80989,-1,-1
10,9.80989,9.82296,1,-1
10,9.82296,10.7258,-1,-1
10,10.7258,10.9397,1,-1
10,10.9397,11.4313,-1,-1
10,11.4313,11.7017,1,-1
10,11.7017,0.558153,-1,-1
10,0.558153,7.54188,1,-1
11,1.34974,1.45125,-1,-1
11,1.45125,4.08932,1,-1
11,4.08932,4.2046,-1,-1
11,4.2046,6.51617,1,-1
11,6.51617,6.7887,-1,-1
11,6.7887,7.81545,1,-1
11,7.81545,8.51288,-1,-1
11,8.51288,10.9123,1,-1
11,10.9123,11.3021,-1,-1
11,11.3021,1.34974,1,-1
