site_id,start_time,end_time,spin,cluster_id
0,0.0591183,2.23565,1,-1
0,2.23565,2.34734,-1,-1
0,2.34734,3.22831,1,-1
0,3.22831,3.57963,-1,-1
0,3.57963,4.15416,1,-1
0,4.15416,4.48064,-1,-1
0,4.48064,4.88429,1,-1
0,4.88429,5.87556,-1,-1
0,5.87556,6.44221,1,-1
0,6.44221,7.45712,-1,-1
0,7.45712,7.68721,1,-1
0,7.68721,7.90887,-1,-1
0,7.90887,8.50265,1,-1
0,8.50265,9.10458,-1,-1
0,9.10458,9.33288,1,-1
0,9.33288,9.55633,-1,-1
0,9.55633,9.83416,1,-1
0,9.83416,10.4315,-1,-1
0,10.4315,10.7595,1,-1
0,10.7595,10.8331,-1,-1
0,10.8331,10.8549,1,-1
0,10.8549,11.2939,-1,-1
0,11.2939,11.6729,1,-1
0,11.6729,0.0591183,-1,-1
1,11.9907,1.9159,1,-1
1,1.9159,2.23301,-1,-1
1,2.23301,4.93791,1,-1
1,4.93791,5.06459,-1,-1
1,5.06459,5.63967,1,-1
1,5.63967,5.79818,-1,-1
1,5.79818,6.42755,1,-1
1,6.42755,7.50534,-1,-1
1,7.50534,7.56416,1,-1
1,7.56416,7.96272,-1,-1
1,7.96272,8.08827,1,-1
1,8.08827,8.28104,-1,-1
1,8.28104,8.36396,1,-1
1,8.36396,9.01094,-1,-1
1,9.01094,9.3867,1,-1
1,9.3867,9.53802,-1,-1
1,9.53802,9.54395,1,-1
1,9.54395,10.946,-1,-1
1,10.946,11.1031,1,-1
1,11.1031,11.9907,-1,-1
2,6.62326,6.6728,-1,-1
2,6.6728,7.2027,1,-1
2,7.2027,10.1457,-1,-1
2,10.1457,10.4935,1,-1
2,10.4935,10.6789,-1,-1
2,10.6789,10.7577,1,-1
2,10.7577,10.8498,-1,-1
2,10.8498,11.1005,1,-1
2,11.1005,11.9323,-1,-1
2,11.9323,11.9761,1,-1
2,11.9761,0.0153484,-1,-1
2,0.0153484,0.230616,1,-1
2,0.230616,0.295784,-1,-1
2,0.295784,1.57681,1,-1
2,1.57681,1.73073,-1,-1
2,1.73073,2.52522,1,-1
2,2.52522,2.74456,-1,-1
2,2.74456,3.06789,1,-1
2,3.06789,3.31114,-1,-1
2,3.31114,3.97101,1,-1
2,3.97101,4.34917,-1,-1
2,4.34917,6.62326,1,-1
3,4.594,4.70082,1,-1
3,4.70082,4.91088,-1,-1
3,4.91088,5.58051,1,-1
3,5.58051,5.78809,-1,-1
3,5.78809,6.65982,1,-1
3,6.65982,6.66031,-1,-1
3,6.66031,7.06804,1,-1
3,7.06804,7.07408,-1,-1
3,7.07408,7.8092,1,-1
3,7.8092,8.12785,-1,-1
3,8.12785,8.48261,1,-1
3,8.48261,10.8073,-1,-1
3,10.8073,10.8137,1,-1
3,10.8137,10.9637,-1,-1
3,10.9637,11.1809,1,-1
3,11.1809,11.2682,-1,-1
3,11.2682,11.8005,1,-1
3,11.8005,0.349419,-1,-1
3,0.349419,0.587754,1,-1
3,0.587754,0.668211,-1,-1
3,0.668211,1.3821,1,-1
3,1.3821,1.46334,-1,-1
3,1.46334,1.55838,1,-1
3,1.55838,1.61953,-1,-1
3,1.61953,1.75967,1,-1
3,1.75967,2.42424,-1,-1
3,2.42424,2.48841,1,-1
3,2.48841,2.78103,-1,-1
3,2.78103,3.24973,1,-1
3,3.24973,3.27399,-1,-1
3,3.27399,3.92467,1,-1
3,3.92467,4.594,-1,-1
4,7.4506,7.61569,1,-1
4,7.61569,8.80175,-1,-1
4,8.80175,8.82369,1,-1
4,8.82369,8.9094,-1,-1
4,8.9094,9.31688,1,-1
4,9.31688,9.68207,-1,-1
4,9.68207,9.77628,1,-1
4,9.77628,10.2909,-1,-1
4,10.2909,11.1566,1,-1
4,11.1566,11.5457,-1,-1
4,11.5457,11.852,1,-1
4,11.852,11.9539,-1,-1
4,11.9539,0.0717741,1,-1
4,0.0717741,0.344284,-1,-1
4,0.344284,1.21677,1,-1
4,1.21677,1.22716,-1,-1
4,1.22716,1.28241,1,-1
4,1.28241,1.52566,-1,-1
4,1.52566,2.2856,1,-1
4,2.2856,2.67111,-1,-1
4,2.67111,3.95014,1,-1
4,3.95014,4.32836,-1,-1
4,4.32836,4.51767,1,-1
4,4.51767,4.5717,-1,-1
4,4.5717,4.62727,1,-1
4,4.62727,4.63897,-1,-1
4,4.63897,4.65394,1,-1
4,4.65394,4.8528,-1,-1
4,4.8528,4.98539,1,-1
4,4.98539,5.92374,-1,-1
4,5.92374,7.23066,1,-1
4,7.23066,7.4506,-1,-1
5,0.131217,0.43483,1,-1
5,0.43483,0.740614,-1,-1
5,0.740614,2.63731,1,-1
5,2.63731,2.68077,-1,-1
5,2.68077,2.94004,1,-1
5,2.94004,3.08101,-1,-1
5,3.08101,4.02078,1,-1
5,4.02078,4.049,-1,-1
5,4.049,4.44112,1,-1
5,4.44112,4.84544,-1,-1
5,4.84544,5.53394,1,-1
5,5.53394,5.73211,-1,-1
5,5.73211,7.0456,1,-1
5,7.0456,7.46693,-1,-1
5,7.46693,7.82897,1,-1
5,7.82897,8.09427,-1,-1
5,8.09427,8.36049,1,-1
5,8.36049,8.49388,-1,-1
5,8.49388,8.57564,1,-1
5,8.57564,8.88473,-1,-1
5,8.88473,9.18356,1,-1
5,9.18356,10.2947,-1,-1
5,10.2947,11.0247,1,-1
5,11.0247,11.4408,-1,-1
5,11.4408,11.6516,1,-1
5,11.6516,0.131217,-1,-1
6,8.88858,10.0932,1,-1
6,10.0932,10.951,-1,-1
6,10.951,10.997,1,-1
6,10.997,0.199616,-1,-1
6,0.199616,0.857893,1,-1
6,0.857893,1.84902,-1,-1
6,1.84902,2.3141,1,-1
6,2.3141,3.34266,-1,-1
6,3.34266,3.62526,1,-1
6,3.62526,3.97565,-1,-1
6,3.97565,4.16188,1,-1
6,4.16188,4.24024,-1,-1
6,4.24024,4.26141,1,-1
6,4.26141,4.28432,-1,-1
6,4.28432,4.93575,1,-1
6,4.93575,5.27293,-1,-1
6,5.27293,5.37981,1,-1
6,5.37981,6.05891,-1,-1
6,6.05891,6.14404,1,-1
6,6.14404,7.2977,-1,-1
6,7.2977,7.79449,1,-1
6,7.79449,8.19136,-1,-1
6,8.19136,8.30122,1,-1
6,8.30122,8.88858,-1,-1
7,5.25362,5.66906,-1,-1
7,5.66906,5.68903,1,-1
7,5.68903,6.59149,-1,-1
7,6.59149,6.62104,1,-1
7,6.62104,6.72323,-1,-1
7,6.72323,6.93338,1,-1
7,6.93338,7.50561,-1,-1
7,7.50561,7.50586,1,-1
7,7.50586,8.28939,-1,-1
7,8.28939,8.40525,1,-1
7,8.40525,8.84026,-1,-1
7,8.84026,8.95386,1,-1
7,8.95386,9.28653,-1,-1
7,9.28653,9.31565,1,-1
7,9.31565,9.73759,-1,-1
7,9.73759,10.354,1,-1
7,10.354,10.4198,-1,-1
7,10.4198,10.4765,1,-1
7,10.4765,10.9601,-1,-1
7,10.9601,11.0916,1,-1
7,11.0916,11.3698,-1,-1
7,11.3698,0.247172,1,-1
7,0.247172,0.304701,-1,-1
7,0.304701,0.643602,1,-1
7,0.643602,1.1026,-1,-1
7,1.1026,1.29718,1,-1
7,1.29718,1.46082,-1,-1
7,1.46082,1.6857,1,-1
7,1.6857,1.84309,-1,-1
7,1.84309,2.54982,1,-1
7,2.54982,2.5557,-1,-1
7,2.5557,2.56065,1,-1
7,2.56065,3.43593,-1,-1
7,3.43593,3.55644,1,-1
7,3.55644,4.23829,-1,-1
7,4.23829,5.25362,1,-1
8,9.43424,10.4412,1,-1
8,10.4412,10.6956,-1,-1
8,10.6956,10.879,1,-1
8,10.879,11.3358,-1,-1
8,11.3358,0.147575,1,-1
8,0.147575,0.347477,-1,-1
8,0.347477,0.713508,1,-1
8,0.713508,0.970248,-1,-1
8,0.970248,2.61053,1,-1
8,2.61053,2.87936,-1,-1
8,2.87936,3.21685,1,-1
8,3.21685,3.43783,-1,-1
8,3.43783,3.84131,1,-1
8,3.84131,4.50469,-1,-1
8,4.50469,4.87487,1,-1
8,4.87487,5.81322,-1,-1
8,5.81322,5.81974,1,-1
8,5.81974,5.93697,-1,-1
8,5.93697,6.25734,1,-1
8,6.25734,6.69697,-1,-1
8,6.69697,7.28109,1,-1
8,7.28109,7.40138,-1,-1
8,7.40138,7.64216,1,-1
8,7.64216,8.6329,-1,-1
8,8.6329,9.04506,1,-1
8,9.04506,9.43424,-1,-1
9,1.77054,2.3604,-1,-1
9,2.3604,2.48649,1,-1
9,2.48649,3.2701,-1,-1
9,3.2701,3.44875,1,-1
9,3.44875,3.69237,-1,-1
