site_id,start_time,end_time,spin,cluster_id
0,7.43852,7.57404,-1,-1
0,7.57404,8.91352,1,-1
0,8.91352,8.95259,-1,-1
0,8.95259,9.20484,1,-1
0,9.20484,9.24228,-1,-1
0,9.24228,0.223899,1,-1
0,0.223899,0.326744,-1,-1
0,0.326744,1.44739,1,-1
0,1.44739,1.57336,-1,-1
0,1.57336,2.37252,1,-1
0,2.37252,2.77496,-1,-1
0,2.77496,7.43852,1,-1
1,2.74207,0.812403,1,-1
1,0.812403,1.23859,-1,-1
1,1.23859,2.32187,1,-1
1,2.32187,2.74207,-1,-1
2,5.20035,6.01978,-1,-1
2,6.01978,6.26913,1,-1
2,6.26913,6.34369,-1,-1
2,6.34369,6.34833,1,-1
2,6.34833,6.49638,-1,-1
2,6.49638,8.9891,1,-1
2,8.9891,9.11153,-1,-1
2,9.11153,5.20035,1,-1
3,5.27245,5.97135,-1,-1
3,5.97135,5.27245,1,-1
4,7.8388,7.86968,-1,-1
4,7.86968,8.83156,1,-1
4,8.83156,9.05066,-1,-1
4,9.05066,3.29413,1,-1
4,3.29413,3.42908,-1,-1
4,3.42908,7.8388,1,-1
5,6.47466,6.78371,-1,-1
5,6.78371,6.47466,1,-1
