12 12.000000000000 0.005000000000 1.000000000000e+00 9.999694084569e-01 4.960361783207e-06 9.999389408755e-01 9.891239953115e-06 9.998783746624e-01 1.966558104237e-05 1.417536000000e+02 1.778071354249e-01 9.914297581388e-01 3.252518519528e-04 1.084256801839e+01 1.783662613189e-02 6.666665035857e-01 
12 12.000000000000 0.025000000000 1.000000000000e+00 9.998589877556e-01 1.015150780050e-05 9.997185106611e-01 2.024704309686e-05 9.994391502723e-01 4.027194740097e-05 1.324968000000e+02 3.810972552407e-01 9.609496983053e-01 5.898231778706e-04 7.674794279780e+00 2.303438296302e-02 6.666659830439e-01 
12 12.000000000000 0.400000000000 1.000000000000e+00 9.909057522954e-01 9.987510135968e-05 9.819440851114e-01 1.969085979805e-04 9.644080512651e-01 3.828250838057e-04 1.670868746906e+01 1.089833896217e-01 6.816266625023e-01 4.523547943162e-04 1.063380679354e+00 1.739256754789e-03 6.665996466406e-01 
12 12.000000000000 0.800000000000 1.000000000000e+00 8.795720637968e-01 8.655538028194e-04 7.773929323396e-01 1.354364577108e-03 6.135112882902e-01 1.890453534434e-03 2.442436687181e+00 6.936077343711e-03 5.009595451125e-01 3.896778258498e-04 5.068387250864e-01 7.425712667003e-04 6.616079687427e-01 
12 12.000000000000 1.000000000000 1.000000000000e+00 6.435100905574e-01 3.085991524796e-03 4.617219551048e-01 3.200041969101e-03 2.643885068458e-01 2.622982081484e-03 1.350855753175e+00 3.321798547753e-03 4.195806498048e-01 3.321316670376e-04 3.648336597038e-01 4.801273813264e-04 5.866097156114e-01 
12 12.000000000000 1.200000000000 1.000000000000e+00 3.016820865945e-01 2.787928673342e-03 1.298748128102e-01 1.975304252961e-03 3.637660146133e-02 9.178522063365e-04 8.316681725243e-01 1.528086892916e-03 3.520705378081e-01 2.682669376538e-04 2.733613805038e-01 3.139470782231e-04 2.811289437442e-01 
12 12.000000000000 1.400000000000 1.000000000000e+00 1.793913983375e-01 1.855495221382e-03 4.939558638033e-02 9.072744938974e-04 6.555658990240e-03 2.346884295593e-04 6.080475093400e-01 8.499597557705e-04 3.060039708866e-01 2.145638152109e-04 2.213281073112e-01 2.195922869981e-04 1.043902577539e-01 
12 12.000000000000 1.800000000000 1.000000000000e+00 1.075848761746e-01 1.139929364770e-03 1.807170036482e-02 3.498927318340e-04 9.387109730269e-04 3.817849859575e-05 4.035979661571e-01 4.312018737454e-04 2.449765400801e-01 1.613353303655e-04 1.625170950390e-01 1.394662622109e-04 4.189610566787e-02 
12 12.000000000000 2.200000000000 1.000000000000e+00 8.004576813897e-02 8.532849687462e-04 1.004780118640e-02 1.991015631698e-04 2.991654709647e-04 1.227916993064e-05 3.027252592281e-01 2.661868189662e-04 2.042816690449e-01 1.257881873635e-04 1.285097619289e-01 9.805965133351e-05 1.224748158556e-02 
6 10.000000000000 1.000000000000 1.000000000000e+00 9.508881103371e-01 5.052367596163e-09 9.041881983804e-01 nan 8.175562980905e-01 6.797142759536e-09 3.157894736842e+00 2.033064459000e-08 4.455383355950e-01 nan 3.954802259887e-01 2.655240234667e-09 6.666666666667e-01 
6 10.000000000000 1.000000000000 1.000000000000e+00 9.311261166363e-01 6.299913622331e-09 8.669958450822e-01 6.760211747318e-09 7.516817953899e-01 nan 3.529411764706e+00 nan 4.549260493912e-01 nan 4.166666666667e-01 2.483526865641e-09 6.666666666667e-01 
6 10.000000000000 1.000000000000 1.000000000000e+00 9.111721748264e-01 5.896165258525e-09 8.302347321779e-01 4.527955728707e-09 6.892897105145e-01 nan 3.529411764706e+00 nan 4.438017818649e-01 nan 3.947368421053e-01 2.541330573750e-09 6.666666666667e-01 
6 10.000000000000 1.000000000000 1.000000000000e+00 9.335651374829e-01 nan 8.715438659235e-01 nan 7.595887102289e-01 nan 2.608695652174e+00 nan 4.560124065817e-01 nan 4.093567251462e-01 nan 6.666666666667e-01 
6 10.000000000000 1.000000000000 1.000000000000e+00 9.098179586945e-01 nan 8.277687179629e-01 nan 6.852010504380e-01 5.027230474060e-09 3.157894736842e+00 2.033064459000e-08 4.368307239440e-01 2.325955721531e-09 4.000000000000e-01 3.650024149989e-09 6.666666666667e-01 
6 10.000000000000 1.000000000000 1.000000000000e+00 8.754952036953e-01 nan 7.664918516935e-01 5.747154077190e-09 5.875097587125e-01 4.878346515791e-09 2.727272727273e+00 1.755828396409e-08 4.354514955940e-01 nan 4.069767441860e-01 3.609661906264e-09 6.666666666667e-01 
6 10.000000000000 1.000000000000 1.000000000000e+00 9.878379505743e-01 4.100373871772e-09 9.758238165948e-01 nan 9.522321210336e-01 nan 3.529411764706e+00 nan 4.225630466721e-01 nan 3.947368421053e-01 2.541330573750e-09 6.666666666667e-01 
6 10.000000000000 1.000000000000 1.000000000000e+00 8.967309277367e-01 nan 8.041263567595e-01 nan 6.466191976353e-01 5.181217834773e-09 2.857142857143e+00 nan 4.406113630525e-01 nan 4.000000000000e-01 3.650024149989e-09 6.666666666667e-01 
6 10.000000000000 1.000000000000 1.000000000000e+00 1.627436245089e-01 1.131400273306e-09 2.648548731830e-02 4.063574374096e-11 7.014810384876e-04 6.142023949480e-12 9.677419354839e-01 6.890715700403e-09 3.531204041524e-01 2.293269522617e-09 2.745780005985e-01 2.562776037147e-09 6.666666666667e-01 
6 10.000000000000 1.000000000000 1.000000000000e+00 1.521749389147e-01 nan 2.315721203368e-02 nan 5.362564691728e-04 nan 1.016949152542e+00 2.128125695146e-09 3.774479156145e-01 3.492193519853e-09 3.193461528699e-01 2.458482727614e-09 6.666666666667e-01 
6 10.000000000000 1.000000000000 1.000000000000e+00 9.748499313614e-01 3.529586951868e-09 9.503323886754e-01 nan 9.031316489655e-01 6.329075806556e-09 3.750000000000e+00 0.000000000000e+00 4.445542070880e-01 3.710653679621e-09 4.216867469880e-01 nan 6.666666666667e-01 
6 10.000000000000 1.000000000000 1.000000000000e+00 6.153504498073e-01 2.560762600207e-02 4.442312270242e-01 2.695569839673e-02 2.700023506689e-01 2.305784417569e-02 1.372298530689e+00 3.444646470845e-02 4.191980940770e-01 3.219276040293e-03 3.660060498494e-01 4.343035047895e-03 5.439335523082e-01 
6 10.000000000000 1.000000000000 1.000000000000e+00 6.357684132116e-01 2.635474012710e-02 4.736587079543e-01 2.873032329710e-02 3.068957192965e-01 2.555439185730e-02 1.458916831591e+00 4.413050451556e-02 4.254572739698e-01 3.843969701525e-03 3.716889671307e-01 5.588421537817e-03 5.440276331145e-01 
