site_id,start_time,end_time,spin,cluster_id
0,1.28421,2.59513,-1,-1
0,2.59513,2.78647,1,-1
0,2.78647,3.22165,-1,-1
0,3.22165,3.33197,1,-1
0,3.33197,4.45244,-1,-1
0,4.45244,5.25016,1,-1
0,5.25016,5.55428,-1,-1
0,5.55428,5.62777,1,-1
0,5.62777,5.88989,-1,-1
0,5.88989,6.08431,1,-1
0,6.08431,6.33268,-1,-1
0,6.33268,6.5975,1,-1
0,6.5975,7.76147,-1,-1
0,7.76147,9.0252,1,-1
0,9.0252,10.9345,-1,-1
0,10.9345,0.75798,1,-1
0,0.75798,1.19156,-1,-1
0,1.19156,1.28421,1,-1
1,7.03819,7.70216,1,-1
1,7.70216,7.9769,-1,-1
1,7.9769,8.2994,1,-1
1,8.2994,8.61714,-1,-1
1,8.61714,8.70787,1,-1
1,8.70787,8.81297,-1,-1
1,8.81297,9.28803,1,-1
1,9.28803,9.46704,-1,-1
1,9.46704,9.92789,1,-1
1,9.92789,10.2591,-1,-1
1,10.2591,10.7039,1,-1
1,10.7039,11.174,-1,-1
1,11.174,11.3808,1,-1
1,11.3808,11.4251,-1,-1
1,11.4251,0.161635,1,-1
1,0.161635,2.45327,-1,-1
1,2.45327,4.39811,1,-1
1,4.39811,4.46483,-1,-1
1,4.46483,5.04765,1,-1
1,5.04765,7.03819,-1,-1
2,7.68186,8.61793,-1,-1
2,8.61793,8.95832,1,-1
2,8.95832,9.03143,-1,-1
2,9.03143,9.14517,1,-1
2,9.14517,9.78132,-1,-1
2,9.78132,10.3081,1,-1
2,10.3081,10.9038,-1,-1
2,10.9038,11.8873,1,-1
2,11.8873,0.652499,-1,-1
2,0.652499,1.65248,1,-1
2,1.65248,2.87113,-1,-1
2,2.87113,2.98912,1,-1
2,2.98912,3.00658,-1,-1
2,3.00658,4.43037,1,-1
2,4.43037,4.53889,-1,-1
2,4.53889,4.83864,1,-1
2,4.83864,5.22728,-1,-1
2,5.22728,5.60212,1,-1
2,5.60212,5.69243,-1,-1
2,5.69243,7.68186,1,-1
3,7.16336,7.26707,-1,-1
3,7.26707,7.45841,1,-1
3,7.45841,7.68962,-1,-1
3,7.68962,7.70933,1,-1
3,7.70933,8.11438,-1,-1
3,8.11438,8.59272,1,-1
3,8.59272,9.67093,-1,-1
3,9.67093,9.76713,1,-1
3,9.76713,9.88672,-1,-1
3,9.88672,10.3702,1,-1
3,10.3702,10.8264,-1,-1
3,10.8264,0.0189185,1,-1
3,0.0189185,0.648103,-1,-1
3,0.648103,1.60458,1,-1
3,1.60458,2.14546,-1,-1
3,2.14546,2.31336,1,-1
3,2.31336,3.6038,-1,-1
3,3.6038,4.23312,1,-1
3,4.23312,5.13979,-1,-1
3,5.13979,5.50416,1,-1
3,5.50416,5.67396,-1,-1
3,5.67396,5.83214,1,-1
3,5.83214,5.91856,-1,-1
3,5.91856,7.16336,1,-1
4,3.00308,3.55981,-1,-1
4,3.55981,4.40079,1,-1
4,4.40079,5.20725,-1,-1
4,5.20725,8.85049,1,-1
4,8.85049,9.73747,-1,-1
4,9.73747,10.7653,1,-1
4,10.7653,10.8775,-1,-1
4,10.8775,11.0657,1,-1
4,11.0657,1.14248,-1,-1
4,1.14248,1.86875,1,-1
4,1.86875,2.90032,-1,-1
4,2.90032,3.00308,1,-1
5,9.24031,9.55253,-1,-1
5,9.55253,9.81433,1,-1
5,9.81433,10.0042,-1,-1
5,10.0042,10.7409,1,-1
5,10.7409,0.718785,-1,-1
5,0.718785,0.836424,1,-1
5,0.836424,0.948903,-1,-1
5,0.948903,0.954654,1,-1
5,0.954654,3.90409,-1,-1
5,3.90409,4.20262,1,-1
5,4.20262,4.28857,-1,-1
5,4.28857,5.05544,1,-1
5,5.05544,5.17745,-1,-1
5,5.17745,6.78109,1,-1
5,6.78109,6.81419,-1,-1
5,6.81419,6.93735,1,-1
5,6.93735,7.26031,-1,-1
5,7.26031,9.24031,1,-1
6,8.80125,9.02493,1,-1
6,9.02493,9.61756,-1,-1
6,9.61756,9.95987,1,-1
6,9.95987,10.0602,-1,-1
6,10.0602,10.1733,1,-1
6,10.1733,0.743397,-1,-1
6,0.743397,1.28843,1,-1
6,1.28843,1.66799,-1,-1
6,1.66799,1.75737,1,-1
6,1.75737,2.72352,-1,-1
6,2.72352,2.90284,1,-1
6,2.90284,2.99897,-1,-1
6,2.99897,3.3063,1,-1
6,3.3063,3.99635,-1,-1
6,3.99635,5.85086,1,-1
6,5.85086,6.2109,-1,-1
6,6.2109,6.30234,1,-1
6,6.30234,6.39379,-1,-1
6,6.39379,6.41238,1,-1
6,6.41238,6.49483,-1,-1
6,6.49483,8.63668,1,-1
6,8.63668,8.80125,-1,-1
7,1.31555,1.54365,-1,-1
7,1.54365,2.03529,1,-1
7,2.03529,2.68053,-1,-1
7,2.68053,3.32593,1,-1
7,3.32593,3.84812,-1,-1
7,3.84812,5.89903,1,-1
7,5.89903,5.9278,-1,-1
7,5.9278,7.84831,1,-1
7,7.84831,7.99797,-1,-1
7,7.99797,8.49487,1,-1
7,8.49487,8.82644,-1,-1
7,8.82644,10.2367,1,-1
7,10.2367,10.4052,-1,-1
7,10.4052,10.4718,1,-1
7,10.4718,10.8607,-1,-1
7,10.8607,10.9117,1,-1
7,10.9117,10.9482,-1,-1
7,10.9482,11.2099,1,-1
7,11.2099,11.771,-1,-1
7,11.771,11.8223,1,-1
7,11.8223,0.491972,-1,-1
7,0.491972,1.31555,1,-1
8,8.88734,8.95179,1,-1
8,8.95179,9.29733,-1,-1
8,9.29733,10.1559,1,-1
8,10.1559,10.2137,-1,-1
8,10.2137,11.1426,1,-1
8,11.1426,1.64627,-1,-1
8,1.64627,1.96523,1,-1
8,1.96523,2.98063,-1,-1
8,2.98063,3.15575,1,-1
8,3.15575,4.22435,-1,-1
8,4.22435,5.69679,1,-1
8,5.69679,5.80505,-1,-1
8,5.80505,5.95898,1,-1
8,5.95898,6.15032,-1,-1
8,6.15032,6.38153,1,-1
8,6.38153,6.63108,-1,-1
8,6.63108,8.13304,1,-1
8,8.13304,8.27894,-1,-1
8,8.27894,8.52972,1,-1
8,8.52972,8.88734,-1,-1
9,0.113275,0.512706,1,-1
9,0.512706,0.681179,-1,-1
9,0.681179,0.730128,1,-1
9,0.730128,1.22657,-1,-1
9,1.22657,1.25251,1,-1
9,1.25251,1.77865,-1,-1
9,1.77865,1.84711,1,-1
9,1.84711,2.22033,-1,-1
9,2.22033,2.74855,1,-1
9,2.74855,3.1533,-1,-1
9,3.1533,3.24851,1,-1
9,3.24851,3.7358,-1,-1
9,3.7358,3.79122,1,-1
9,3.79122,4.11641,-1,-1
9,4.11641,4.7484,1,-1
9,4.7484,5.11591,-1,-1
9,5.11591,5.34409,1,-1
9,5.34409,5.4294,-1,-1
9,5.4294,5.8101,1,-1
9,5.8101,6.46555,-1,-1
9,6.46555,7.38649,1,-1
9,7.38649,7.47631,-1,-1
9,7.47631,7.81408,1,-1
9,7.81408,7.89282,-1,-1
9,7.89282,7.97994,1,-1
9,7.97994,8.29573,-1,-1
9,8.29573,8.35036,1,-1
9,8.35036,8.40083,-1,-1
9,8.40083,10.0117,1,-1
9,10.0117,10.09,-1,-1
9,10.09,10.6935,1,-1
9,10.6935,10.9427,-1,-1
9,10.9427,11.2183,1,-1
9,11.2183,0.113275,-1,-1
10,10.001,10.057,-1,-1
10,10.057,11.604,1,-1
10,11.604,0.0896685,-1,-1
10,0.0896685,0.47414,1,-1
10,0.47414,1.6707,-1,-1
10,1.6707,1.67579,1,-1
10,1.67579,2.13501,-1,-1
10,2.13501,2.55588,1,-1
10,2.55588,4.22912,-1,-1
10,4.22912,6.46272,1,-1
10,6.46272,8.1623,-1,-1
10,8.1623,10.001,1,-1
11,8.98003,9.0968,-1,-1
11,9.0968,9.72766,1,-1
11,9.72766,10.4547,-1,-1
11,10.4547,10.7259,1,-1
11,10.7259,10.9496,-1,-1
11,10.9496,11.7281,1,-1
11,11.7281,11.9508,-1,-1
11,11.9508,1.48252,1,-1
11,1.48252,1.49307,-1,-1
11,1.49307,1.52173,1,-1
11,1.52173,2.27035,-1,-1
11,2.27035,2.72628,1,-1
11,2.72628,2.85822,-1,-1
11,2.85822,3.08529,1,-1
11,3.08529,3.10156,-1,-1
