site_id,start_time,end_time,spin,cluster_id
0,5.22405,5.49338,1,-1
0,5.49338,5.22405,-1,-1
1,0.889926,6.53106,-1,-1
1,6.53106,6.6014,1,-1
1,6.6014,0.377593,-1,-1
1,0.377593,0.889926,1,-1
2,7.11867,7.50808,1,-1
2,7.50808,0.257501,-1,-1
2,0.257501,1.05938,1,-1
2,1.05938,3.27875,-1,-1
2,3.27875,3.28739,1,-1
2,3.28739,4.09299,-1,-1
2,4.09299,4.20195,1,-1
2,4.20195,7.11867,-1,-1
3,7.53116,9.40707,-1,-1
3,9.40707,9.48835,1,-1
3,9.48835,0.175342,-1,-1
3,0.175342,1.15946,1,-1
3,1.15946,1.98723,-1,-1
3,1.98723,2.08602,1,-1
3,2.08602,6.44299,-1,-1
3,6.44299,7.53116,1,-1
