site_id,start_time,end_time,spin,cluster_id
0,2.20295,2.42388,-1,-1
0,2.42388,2.8697,1,-1
0,2.8697,3.6705,-1,-1
0,3.6705,4.20127,1,-1
0,4.20127,4.49406,-1,-1
0,4.49406,2.20295,1,-1
1,3.36292,3.54516,-1,-1
1,3.54516,5.95036,1,-1
1,5.95036,6.27968,-1,-1
1,6.27968,1.0497,1,-1
1,1.0497,1.31576,-1,-1
1,1.31576,1.47959,1,-1
1,1.47959,2.62458,-1,-1
1,2.62458,3.36292,1,-1
2,3.08435,3.36586,-1,-1
2,3.36586,4.75029,1,-1
2,4.75029,5.96796,-1,-1
2,5.96796,7.59668,1,-1
2,7.59668,7.62619,-1,-1
2,7.62619,8.07538,1,-1
2,8.07538,0.66257,-1,-1
2,0.66257,0.765364,1,-1
2,0.765364,0.929763,-1,-1
2,0.929763,3.08435,1,-1
3,7.11259,7.47919,1,-1
3,7.47919,0.745836,-1,-1
3,0.745836,1.21945,1,-1
3,1.21945,1.64396,-1,-1
3,1.64396,1.84104,1,-1
3,1.84104,2.28715,-1,-1
3,2.28715,3.3714,1,-1
3,3.3714,7.11259,-1,-1
4,3.92785,3.92941,1,-1
4,3.92941,4.14558,-1,-1
4,4.14558,6.14521,1,-1
4,6.14521,6.59829,-1,-1
4,6.59829,6.99779,1,-1
4,6.99779,7.23898,-1,-1
4,7.23898,7.89848,1,-1
4,7.89848,9.09133,-1,-1
4,9.09133,9.42142,1,-1
4,9.42142,0.443035,-1,-1
4,0.443035,0.555641,1,-1
4,0.555641,0.751247,-1,-1
4,0.751247,1.40631,1,-1
4,1.40631,3.92785,-1,-1
5,6.16275,7.3528,-1,-1
5,7.3528,9.48001,1,-1
5,9.48001,1.3094,-1,-1
5,1.3094,1.43881,1,-1
5,1.43881,2.74183,-1,-1
5,2.74183,4.12868,1,-1
5,4.12868,5.83093,-1,-1
5,5.83093,6.16275,1,-1
6,2.02944,2.12537,1,-1
6,2.12537,2.97858,-1,-1
6,2.97858,4.87231,1,-1
6,4.87231,5.42375,-1,-1
6,5.42375,7.0488,1,-1
6,7.0488,8.00708,-1,-1
6,8.00708,9.84157,1,-1
6,9.84157,2.02944,-1,-1
7,5.40323,5.59413,-1,-1
7,5.59413,5.7251,1,-1
7,5.7251,7.83687,-1,-1
7,7.83687,8.6554,1,-1
7,8.6554,0.300359,-1,-1
7,0.300359,0.773974,1,-1
7,0.773974,1.03367,-1,-1
7,1.03367,5.40323,1,-1
8,6.4823,6.97008,-1,-1
8,6.97008,7.05245,1,-1
8,7.05245,7.97697,-1,-1
8,7.97697,8.27365,1,-1
8,8.27365,8.72371,-1,-1
8,8.72371,0.659571,1,-1
8,0.659571,1.25475,-1,-1
8,1.25475,3.9956,1,-1
8,3.9956,4.49761,-1,-1
8,4.49761,4.63504,1,-1
8,4.63504,4.84132,-1,-1
8,4.84132,6.4823,1,-1
9,7.35776,9.28092,-1,-1
9,9.28092,0.77355,1,-1
9,0.77355,0.789523,-1,-1
9,0.789523,0.790944,1,-1
9,0.790944,1.79333,-1,-1
9,1.79333,2.53059,1,-1
9,2.53059,2.59929,-1,-1
9,2.59929,7.35776,1,-1
10,2.20338,3.07849,-1,-1
10,3.07849,4.4457,1,-1
10,4.4457,6.77341,-1,-1
10,6.77341,7.14401,1,-1
10,7.14401,9.80673,-1,-1
10,9.80673,0.24843,1,-1
10,0.24843,1.91731,-1,-1
10,1.91731,2.20338,1,-1
11,8.71925,9.2754,1,-1
11,9.2754,0.781159,-1,-1
11,0.781159,1.26895,1,-1
11,1.26895,5.03091,-1,-1
11,5.03091,8.5143,1,-1
11,8.5143,8.71925,-1,-1
