site_id,start_time,end_time,spin,cluster_id
0,6.76563,8.19544,1,-1
0,8.19544,8.91887,-1,-1
0,8.91887,9.81597,1,-1
0,9.81597,10.6823,-1,-1
0,10.6823,10.9772,1,-1
0,10.9772,11.2209,-1,-1
0,11.2209,0.215821,1,-1
0,0.215821,1.96376,-1,-1
0,1.96376,2.55651,1,-1
0,2.55651,3.64902,-1,-1
0,3.64902,4.67052,1,-1
0,4.67052,5.26319,-1,-1
0,5.26319,5.27165,1,-1
0,5.27165,6.76563,-1,-1
1,0.435642,2.9543,1,-1
1,2.9543,3.17543,-1,-1
1,3.17543,4.68929,1,-1
1,4.68929,5.42877,-1,-1
1,5.42877,5.4326,1,-1
1,5.4326,6.08911,-1,-1
1,6.08911,6.20874,1,-1
1,6.20874,7.10445,-1,-1
1,7.10445,8.06503,1,-1
1,8.06503,8.22414,-1,-1
1,8.22414,8.32837,1,-1
1,8.32837,8.37843,-1,-1
1,8.37843,8.45512,1,-1
1,8.45512,8.52869,-1,-1
1,8.52869,9.60678,1,-1
1,9.60678,9.88791,-1,-1
1,9.88791,11.6672,1,-1
1,11.6672,0.435642,-1,-1
2,5.60282,6.06478,-1,-1
2,6.06478,6.62098,1,-1
2,6.62098,7.05339,-1,-1
2,7.05339,7.14886,1,-1
2,7.14886,7.48453,-1,-1
2,7.48453,7.62174,1,-1
2,7.62174,8.43319,-1,-1
2,8.43319,8.46145,1,-1
2,8.46145,8.54468,-1,-1
2,8.54468,9.98578,1,-1
2,9.98578,10.1471,-1,-1
2,10.1471,10.6986,1,-1
2,10.6986,10.9438,-1,-1
2,10.9438,11.8319,1,-1
2,11.8319,11.9567,-1,-1
2,11.9567,3.18195,1,-1
2,3.18195,3.51005,-1,-1
2,3.51005,4.71994,1,-1
2,4.71994,5.40702,-1,-1
2,5.40702,5.60282,1,-1
3,0.416749,1.04451,-1,-1
3,1.04451,4.08179,1,-1
3,4.08179,4.17161,-1,-1
3,4.17161,5.06305,1,-1
3,5.06305,6.28053,-1,-1
3,6.28053,8.54879,1,-1
3,8.54879,8.88926,-1,-1
3,8.88926,9.09673,1,-1
3,9.09673,9.12455,-1,-1
3,9.12455,9.39136,1,-1
3,9.39136,9.87875,-1,-1
3,9.87875,11.6576,1,-1
3,11.6576,0.176584,-1,-1
3,0.176584,0.416749,1,-1
4,11.719,2.0218,-1,-1
4,2.0218,2.41387,1,-1
4,2.41387,2.67093,-1,-1
4,2.67093,3.2439,1,-1
4,3.2439,4.16069,-1,-1
4,4.16069,5.08152,1,-1
4,5.08152,5.83696,-1,-1
4,5.83696,6.4649,1,-1
4,6.4649,6.4987,-1,-1
4,6.4987,8.68827,1,-1
4,8.68827,8.86768,-1,-1
4,8.86768,9.38428,1,-1
4,9.38428,9.96396,-1,-1
4,9.96396,10.3411,1,-1
4,10.3411,10.5495,-1,-1
4,10.5495,11.719,1,-1
5,8.19567,8.31073,-1,-1
5,8.31073,9.23745,1,-1
5,9.23745,10.1547,-1,-1
5,10.1547,10.3083,1,-1
5,10.3083,10.4258,-1,-1
5,10.4258,0.535386,1,-1
5,0.535386,2.18895,-1,-1
5,2.18895,2.52059,1,-1
5,2.52059,4.00651,-1,-1
5,4.00651,5.01426,1,-1
5,5.01426,5.24392,-1,-1
5,5.24392,5.49578,1,-1
5,5.49578,5.76434,-1,-1
5,5.76434,8.19567,1,-1
6,11.5476,1.74226,1,-1
6,1.74226,4.3407,-1,-1
6,4.3407,4.3933,1,-1
6,4.3933,4.82472,-1,-1
6,4.82472,5.45905,1,-1
6,5.45905,5.68292,-1,-1
6,5.68292,7.7363,1,-1
6,7.7363,8.6525,-1,-1
6,8.6525,8.68244,1,-1
6,8.68244,8.82835,-1,-1
6,8.82835,10.0139,1,-1
6,10.0139,10.0532,-1,-1
6,10.0532,10.6501,1,-1
6,10.6501,11.5476,-1,-1
7,6.52309,6.53713,-1,-1
7,6.53713,7.83426,1,-1
7,7.83426,8.90006,-1,-1
7,8.90006,9.34394,1,-1
7,9.34394,11.8378,-1,-1
7,11.8378,0.0322176,1,-1
7,0.0322176,0.109059,-1,-1
7,0.109059,0.272845,1,-1
7,0.272845,0.78634,-1,-1
7,0.78634,1.25656,1,-1
7,1.25656,1.36634,-1,-1
7,1.36634,1.45945,1,-1
7,1.45945,2.23705,-1,-1
7,2.23705,2.27749,1,-1
7,2.27749,3.83676,-1,-1
7,3.83676,4.01043,1,-1
7,4.01043,4.32206,-1,-1
7,4.32206,4.49391,1,-1
7,4.49391,4.74368,-1,-1
7,4.74368,6.52309,1,-1
8,7.74553,9.63549,-1,-1
8,9.63549,9.75879,1,-1
8,9.75879,11.8184,-1,-1
8,11.8184,0.228376,1,-1
8,0.228376,1.51078,-1,-1
8,1.51078,1.81212,1,-1
8,1.81212,3.34483,-1,-1
8,3.34483,4.04751,1,-1
8,4.04751,4.8336,-1,-1
8,4.8336,5.39219,1,-1
8,5.39219,6.23383,-1,-1
8,6.23383,7.74553,1,-1
9,3.62689,3.65314,1,-1
9,3.65314,4.85196,-1,-1
9,4.85196,5.01242,1,-1
9,5.01242,6.29996,-1,-1
9,6.29996,6.60725,1,-1
9,6.60725,7.00252,-1,-1
9,7.00252,9.00702,1,-1
9,9.00702,11.875,-1,-1
9,11.875,0.412439,1,-1
9,0.412439,3.62689,-1,-1
10,3.63879,3.79226,1,-1
10,3.79226,7.05033,-1,-1
10,7.05033,7.48465,1,-1
10,7.48465,7.8394,-1,-1
10,7.8394,8.49502,1,-1
10,8.49502,8.78506,-1,-1
10,8.78506,9.91686,1,-1
10,9.91686,11.0485,-1,-1
10,11.0485,11.5598,1,-1
10,11.5598,11.817,-1,-1
10,11.817,0.34901,1,-1
10,0.34901,1.81077,-1,-1
10,1.81077,1.89665,1,-1
10,1.89665,3.63879,-1,-1
11,9.75768,11.7413,-1,-1
11,11.7413,11.7978,1,-1
11,11.7978,11.9144,-1,-1
11,11.9144,0.25826,1,-1
11,0.25826,1.07329,-1,-1
11,1.07329,1.24882,1,-1
11,1.24882,1.40127,-1,-1
11,1.40127,1.92692,1,-1
11,1.92692,2.31263,-1,-1
11,2.31263,2.40443,1,-1
11,2.40443,3.76657,-1,-1
11,3.76657,4.25948,1,-1
11,4.25948,5.20561,-1,-1
11,5.20561,5.20816,1,-1
11,5.20816,6.91232,-1,-1
11,6.91232,7.4851,1,-1
11,7.4851,8.24959,-1,-1
11,8.24959,8.7605,1,-1
11,8.7605,9.01351,-1,-1
11,9.01351,9.75768,1,-1
