site_id,start_time,end_time,spin,cluster_id
0,2.80566,3.14667,1,-1
0,3.14667,4.82322,-1,-1
0,4.82322,5.49697,1,-1
0,5.49697,7.708,-1,-1
0,7.708,1.60518,1,-1
0,1.60518,2.80566,-1,-1
1,6.86891,8.18279,-1,-1
1,8.18279,8.89487,1,-1
1,8.89487,9.49312,-1,-1
1,9.49312,0.608906,1,-1
1,0.608906,0.680463,-1,-1
1,0.680463,0.752669,1,-1
1,0.752669,1.01812,-1,-1
1,1.01812,1.53175,1,-1
1,1.53175,3.47531,-1,-1
1,3.47531,3.71302,1,-1
1,3.71302,4.90273,-1,-1
1,4.90273,6.86891,1,-1
2,7.49549,8.28287,-1,-1
2,8.28287,8.3469,1,-1
2,8.3469,1.20061,-1,-1
2,1.20061,1.2758,1,-1
2,1.2758,4.87733,-1,-1
2,4.87733,7.49549,1,-1
3,8.86909,9.53513,-1,-1
3,9.53513,1.9338,1,-1
3,1.9338,4.0344,-1,-1
3,4.0344,4.28538,1,-1
3,4.28538,5.11995,-1,-1
3,5.11995,6.17796,1,-1
3,6.17796,7.15101,-1,-1
3,7.15101,8.86909,1,-1
4,8.98569,0.836997,1,-1
4,0.836997,4.94912,-1,-1
4,4.94912,5.0277,1,-1
4,5.0277,5.4373,-1,-1
4,5.4373,5.65947,1,-1
4,5.65947,6.90397,-1,-1
4,6.90397,7.61047,1,-1
4,7.61047,8.98569,-1,-1
5,1.27781,1.55514,-1,-1
5,1.55514,4.68027,1,-1
5,4.68027,6.47405,-1,-1
5,6.47405,8.39614,1,-1
5,8.39614,8.65938,-1,-1
5,8.65938,0.563886,1,-1
5,0.563886,0.950684,-1,-1
5,0.950684,1.27781,1,-1
6,1.00677,4.45482,1,-1
6,4.45482,4.56939,-1,-1
6,4.56939,7.5915,1,-1
6,7.5915,9.11115,-1,-1
6,9.11115,9.62772,1,-1
6,9.62772,1.00677,-1,-1
7,8.22497,8.82886,1,-1
7,8.82886,9.3594,-1,-1
7,9.3594,9.5525,1,-1
7,9.5525,1.21603,-1,-1
7,1.21603,1.64393,1,-1
7,1.64393,1.6855,-1,-1
7,1.6855,1.9395,1,-1
7,1.9395,2.34675,-1,-1
7,2.34675,2.41617,1,-1
7,2.41617,2.86206,-1,-1
7,2.86206,3.2513,1,-1
7,3.2513,5.45121,-1,-1
7,5.45121,6.04637,1,-1
7,6.04637,8.22497,-1,-1
8,5.66586,5.97689,-1,-1
8,5.97689,6.91377,1,-1
8,6.91377,7.12864,-1,-1
8,7.12864,9.68951,1,-1
8,9.68951,2.00408,-1,-1
8,2.00408,2.31227,1,-1
8,2.31227,2.32589,-1,-1
8,2.32589,3.21096,1,-1
8,3.21096,4.7874,-1,-1
8,4.7874,5.66586,1,-1
9,5.03415,5.31149,1,-1
9,5.31149,5.46854,-1,-1
9,5.46854,5.86983,1,-1
9,5.86983,6.38192,-1,-1
9,6.38192,6.43627,1,-1
9,6.43627,7.36351,-1,-1
9,7.36351,7.63682,1,-1
9,7.63682,8.41375,-1,-1
9,8.41375,8.64572,1,-1
9,8.64572,9.0959,-1,-1
9,9.0959,9.4313,1,-1
9,9.4313,9.52325,-1,-1
9,9.52325,0.0743514,1,-1
9,0.0743514,0.818633,-1,-1
9,0.818633,1.21328,1,-1
9,1.21328,1.65406,-1,-1
9,1.65406,2.25307,1,-1
9,2.25307,2.48906,-1,-1
9,2.48906,2.7907,1,-1
9,2.7907,2.89153,-1,-1
9,2.89153,3.50996,1,-1
9,3.50996,5.03415,-1,-1
