site_id,start_time,end_time,spin,cluster_id
0,0.815307,1.2384,1,-1
0,1.2384,7.26443,-1,-1
0,7.26443,7.41348,1,-1
0,7.41348,0.815307,-1,-1
1,8.98622,9.66531,1,-1
1,9.66531,8.98622,-1,-1
2,8.45032,9.07786,1,-1
2,9.07786,10.1775,-1,-1
2,10.1775,10.6447,1,-1
2,10.6447,8.45032,-1,-1
3,9.28897,1.51308,-1,-1
3,1.51308,1.62956,1,-1
3,1.62956,8.34688,-1,-1
3,8.34688,8.71131,1,-1
3,8.71131,9.173,-1,-1
3,9.173,9.28897,1,-1
4,2.03887,2.03887,-1,-1
5,4.70071,4.8159,1,-1
5,4.8159,4.70071,-1,-1
6,10.9504,10.9504,-1,-1
7,7.03086,7.0417,1,-1
7,7.0417,7.03086,-1,-1
8,1.1883,1.1883,-1,-1
9,6.33461,7.04436,1,-1
9,7.04436,0.654168,-1,-1
9,0.654168,1.45204,1,-1
9,1.45204,4.35443,-1,-1
9,4.35443,4.7276,1,-1
9,4.7276,4.92415,-1,-1
9,4.92415,4.96251,1,-1
9,4.96251,6.33461,-1,-1
10,1.38798,1.42722,1,-1
10,1.42722,4.84939,-1,-1
10,4.84939,4.88836,1,-1
10,4.88836,5.1655,-1,-1
10,5.1655,5.47563,1,-1
10,5.47563,10.171,-1,-1
10,10.171,10.2755,1,-1
10,10.2755,1.38798,-1,-1
11,2.37257,2.5108,1,-1
11,2.5108,2.37257,-1,-1
