site_id,start_time,end_time,spin,cluster_id
0,1.40201,1.80839,1,-1
0,1.80839,2.42199,-1,-1
0,2.42199,2.66615,1,-1
0,2.66615,3.6675,-1,-1
0,3.6675,4.90187,1,-1
0,4.90187,11.6135,-1,-1
0,11.6135,11.6226,1,-1
0,11.6226,1.40201,-1,-1
1,11.3939,11.7864,1,-1
1,11.7864,2.40652,-1,-1
1,2.40652,2.50842,1,-1
1,2.50842,4.45709,-1,-1
1,4.45709,4.60251,1,-1
1,4.60251,6.97696,-1,-1
1,6.97696,7.03401,1,-1
1,7.03401,8.79886,-1,-1
1,8.79886,9.08278,1,-1
1,9.08278,11.3939,-1,-1
2,9.89936,10.6926,-1,-1
2,10.6926,11.1935,1,-1
2,11.1935,11.7345,-1,-1
2,11.7345,0.303118,1,-1
2,0.303118,0.489535,-1,-1
2,0.489535,0.731136,1,-1
2,0.731136,3.48266,-1,-1
2,3.48266,3.68396,1,-1
2,3.68396,6.7785,-1,-1
2,6.7785,6.8692,1,-1
2,6.8692,8.39781,-1,-1
2,8.39781,8.43888,1,-1
2,8.43888,9.76645,-1,-1
2,9.76645,9.89936,1,-1
3,6.20577,6.2068,1,-1
3,6.2068,6.76626,-1,-1
3,6.76626,6.89972,1,-1
3,6.89972,7.91903,-1,-1
3,7.91903,7.92331,1,-1
3,7.92331,9.80288,-1,-1
3,9.80288,10.117,1,-1
3,10.117,10.3214,-1,-1
3,10.3214,0.382341,1,-1
3,0.382341,6.20577,-1,-1
4,2.81467,3.40565,-1,-1
4,3.40565,3.48056,1,-1
4,3.48056,3.49181,-1,-1
4,3.49181,3.78637,1,-1
4,3.78637,4.18068,-1,-1
4,4.18068,4.51291,1,-1
4,4.51291,5.1194,-1,-1
4,5.1194,5.33007,1,-1
4,5.33007,8.5367,-1,-1
4,8.5367,9.05527,1,-1
4,9.05527,9.15967,-1,-1
4,9.15967,10.9261,1,-1
4,10.9261,11.781,-1,-1
4,11.781,11.8468,1,-1
4,11.8468,11.8661,-1,-1
4,11.8661,0.239626,1,-1
4,0.239626,1.39165,-1,-1
4,1.39165,1.48765,1,-1
4,1.48765,2.68666,-1,-1
4,2.68666,2.81467,1,-1
5,8.11264,8.1401,1,-1
5,8.1401,8.52614,-1,-1
5,8.52614,9.40842,1,-1
5,9.40842,9.72018,-1,-1
5,9.72018,10.2971,1,-1
5,10.2971,10.3851,-1,-1
5,10.3851,11.1465,1,-1
5,11.1465,11.3121,-1,-1
5,11.3121,0.124816,1,-1
5,0.124816,0.184078,-1,-1
5,0.184078,0.213279,1,-1
5,0.213279,3.3558,-1,-1
5,3.3558,3.82662,1,-1
5,3.82662,8.11264,-1,-1
6,6.23281,6.301,1,-1
6,6.301,8.42192,-1,-1
6,8.42192,8.91465,1,-1
6,8.91465,9.57799,-1,-1
6,9.57799,10.0369,1,-1
6,10.0369,1.10385,-1,-1
6,1.10385,1.51671,1,-1
6,1.51671,2.14012,-1,-1
6,2.14012,2.33479,1,-1
6,2.33479,6.23281,-1,-1
7,7.16123,7.28309,1,-1
7,7.28309,11.5756,-1,-1
7,11.5756,11.7157,1,-1
7,11.7157,1.2179,-1,-1
7,1.2179,1.40554,1,-1
7,1.40554,3.06026,-1,-1
7,3.06026,3.07188,1,-1
7,3.07188,7.16123,-1,-1
8,3.77249,9.10285,-1,-1
8,9.10285,9.22955,1,-1
8,9.22955,9.41627,-1,-1
8,9.41627,9.6041,1,-1
8,9.6041,1.67536,-1,-1
8,1.67536,2.02874,1,-1
8,2.02874,3.08422,-1,-1
8,3.08422,3.77249,1,-1
9,8.92049,8.95224,1,-1
9,8.95224,11.9167,-1,-1
9,11.9167,0.289051,1,-1
9,0.289051,1.1955,-1,-1
9,1.1955,1.26077,1,-1
9,1.26077,1.35156,-1,-1
9,1.35156,1.87955,1,-1
9,1.87955,3.06221,-1,-1
9,3.06221,3.13104,1,-1
9,3.13104,5.96538,-1,-1
9,5.96538,5.96855,1,-1
9,5.96855,6.68569,-1,-1
9,6.68569,6.68774,1,-1
9,6.68774,7.0618,-1,-1
9,7.0618,7.38303,1,-1
9,7.38303,8.92049,-1,-1
10,0.0782959,0.727003,1,-1
10,0.727003,1.94196,-1,-1
10,1.94196,2.10674,1,-1
10,2.10674,5.24051,-1,-1
10,5.24051,5.75521,1,-1
10,5.75521,7.77556,-1,-1
10,7.77556,8.04964,1,-1
10,8.04964,8.49015,-1,-1
10,8.49015,8.72956,1,-1
10,8.72956,0.0782959,-1,-1
11,4.67177,5.41887,-1,-1
11,5.41887,5.95511,1,-1
11,5.95511,0.890362,-1,-1
11,0.890362,1.99549,1,-1
11,1.99549,3.9939,-1,-1
11,3.9939,4.67177,1,-1
